,rep_0,rep_1
O43281_EFS,,
O43290_SART1,0.25,0.45825756949558394
O43291_SPINT2,,
O43294_TGFB1I1,0.2251703243459226,0.03608327318862865
O43295_SRGAP3,0.0,0.47140452079103173
O43301_HSPA12A,,
O43303_CCP110,,
O43306_ADCY6,1.1547005383792515,0.49487165930539345
O43310_CTIF,0.3464101615137754,
O43312_MTSS1,,0.47140452079103173
O43314_PPIP5K2,0.2695632761738729,0.24743582965269675
O43318_MAP3K7,0.4330127018922193,0.17320508075688776
O43353_RIPK2,0.24743582965269678,0.32732683535398854
O43395_PRPF3,0.38490017945975047,0.31224989991991986
O43396_TXNL1,0.3535533905932738,0.28641098093474
O43399_TPD52L2,0.21650635094610965,0.28386354538174535
O43422_THAP12,,
O43426_SYNJ1,0.26646935501059654,0.17320508075688776
O43432_EIF4G3,0.12059409723568001,0.12059409723568001
O43439_CBFA2T2,0.47140452079103173,0.282842712474619
O43474_KLF4,,
O43488_AKR7A2,0.0,0.0
O43491_EPB41L2,0.09799078929868854,0.33633292243065327
O43493_TGOLN2,0.4394598957811736,0.05094267081084933
O43513_MED7,,
O43516_WIPF1,0.4330127018922193,0.7806247497997999
O43521_BCL2L11,,0.3464101615137754
O43524_FOXO3,0.20203050891044216,0.7071067811865476
O43561_LAT,0.6298366572977737,0.282842712474619
O43566_RGS14,0.3464101615137754,0.4330127018922193
O43583_DENR,,0.5
O43586_PSTPIP1,,
O43598_DNPH1,,
O43602_DCX,,
O43609_SPRY1,,
O43633_CHMP2A,,
O43639_NCK2,0.2695632761738729,
O43665_RGS10,0.0,
O43684_BUB3,,
O43707_ACTN4,,
O43719_HTATSF1,0.37309070733573224,0.1687837296864432
O43741_PRKAB2,0.37653278425410375,0.2014515483354322
O43752_STX6,,
O43760_SYNGR2,0.0,0.0
O43765_SGTA,0.44095855184409843,0.125
O43768_ENSA,,
O43791_SPOP,,
O43815_STRN,0.10825317547305485,0.31224989991991986
O43818_RRP9,,
O43822_CFAP410,0.0,0.4330127018922193
O43823_AKAP8,,
O43829_ZBTB14,,
